name,time,level description,location,water_level
h2o_feet,1566014040000000000,between 3 and 6 feet,santa_monica,3.819
h2o_feet,1566014400000000000,below 3 feet,coyote_creek,2.943
h2o_feet,1566014400000000000,between 3 and 6 feet,santa_monica,3.911
h2o_feet,1566014760000000000,below 3 feet,coyote_creek,2.831
h2o_feet,1566014760000000000,between 3 and 6 feet,santa_monica,4.055
h2o_feet,1566015120000000000,below 3 feet,coyote_creek,2.717
h2o_feet,1566015120000000000,between 3 and 6 feet,santa_monica,4.055
h2o_feet,1566015480000000000,below 3 feet,coyote_creek,2.625
h2o_feet,1566015480000000000,between 3 and 6 feet,santa_monica,4.124
h2o_feet,1566015840000000000,below 3 feet,coyote_creek,2.533
h2o_feet,1566015840000000000,between 3 and 6 feet,santa_monica,4.183
h2o_feet,1566016200000000000,below 3 feet,coyote_creek,2.451
h2o_feet,1566016200000000000,between 3 and 6 feet,santa_monica,4.242
h2o_feet,1566016560000000000,below 3 feet,coyote_creek,2.385
h2o_feet,1566016560000000000,between 3 and 6 feet,santa_monica,4.36
h2o_feet,1566016920000000000,below 3 feet,coyote_creek,2.339
h2o_feet,1566016920000000000,between 3 and 6 feet,santa_monica,4.501
h2o_feet,1566017280000000000,below 3 feet,coyote_creek,2.293
h2o_feet,1566017280000000000,between 3 and 6 feet,santa_monica,4.501
h2o_feet,1566017640000000000,below 3 feet,coyote_creek,2.287
h2o_feet,1566017640000000000,between 3 and 6 feet,santa_monica,4.567
h2o_feet,1566018000000000000,below 3 feet,coyote_creek,2.29
h2o_feet,1566018000000000000,between 3 and 6 feet,santa_monica,4.675
h2o_feet,1566018360000000000,below 3 feet,coyote_creek,2.313
h2o_feet,1566018360000000000,between 3 and 6 feet,santa_monica,4.642
h2o_feet,1566018720000000000,below 3 feet,coyote_creek,2.359
h2o_feet,1566018720000000000,between 3 and 6 feet,santa_monica,4.751
h2o_feet,1566019080000000000,below 3 feet,coyote_creek,2.425
h2o_feet,1566019080000000000,between 3 and 6 feet,santa_monica,4.888
h2o_feet,1566019440000000000,below 3 feet,coyote_creek,2.513
h2o_feet,1566019440000000000,between 3 and 6 feet,santa_monica,4.82
h2o_feet,1566019800000000000,below 3 feet,coyote_creek,2.608
h2o_feet,1566019800000000000,between 3 and 6 feet,santa_monica,4.8
h2o_feet,1566020160000000000,below 3 feet,coyote_creek,2.703
h2o_feet,1566020160000000000,between 3 and 6 feet,santa_monica,4.882
h2o_feet,1566020520000000000,below 3 feet,coyote_creek,2.822
h2o_feet,1566020520000000000,between 3 and 6 feet,santa_monica,4.898
h2o_feet,1566020880000000000,below 3 feet,coyote_creek,2.927
h2o_feet,1566020880000000000,between 3 and 6 feet,santa_monica,4.98
h2o_feet,1566021240000000000,between 3 and 6 feet,coyote_creek,3.054
h2o_feet,1566021240000000000,between 3 and 6 feet,santa_monica,4.997
h2o_feet,1566021600000000000,between 3 and 6 feet,coyote_creek,3.176
h2o_feet,1566021600000000000,between 3 and 6 feet,santa_monica,4.977
h2o_feet,1566021960000000000,between 3 and 6 feet,coyote_creek,3.304
